_id,correlation
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': '7729202,4789003,5811500,5912099,4789001,4759899,8599604,5813100,8592999,7990200,2399101', 'count': 1}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': 4759899, 'count': 1}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': '9529199,7319099,8211300,5819100', 'count': 1}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': '4742300,4789099,4789001,4744003,4772500,4756300,7990200,4752100,1340501,4751201,4729699,4753900,4782202,4789007,4744099', 'count': 1}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': '4742300,4751201,4759899,4763604,4321500,4322302,4741500,4754703,4330404,4789004', 'count': 1}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'count': 12}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': 4781400, 'count': 1}"
7319002,"{'CNAE_PRINCIPAL': 7319002, 'CNAE_SECUNDARIA': 1412601, 'count': 1}"
4744004,"{'CNAE_PRINCIPAL': 4744004, 'count': 1}"
9521500,"{'CNAE_PRINCIPAL': 9521500, 'count': 1}"
4789004,"{'CNAE_PRINCIPAL': 4789004, 'CNAE_SECUNDARIA': 4763604, 'count': 1}"
4789004,"{'CNAE_PRINCIPAL': 4789004, 'CNAE_SECUNDARIA': '8122200,4755502,4789002,4723700,7319002,4789005', 'count': 1}"
4789004,"{'CNAE_PRINCIPAL': 4789004, 'CNAE_SECUNDARIA': 4744001, 'count': 1}"
4789004,"{'CNAE_PRINCIPAL': 4789004, 'CNAE_SECUNDARIA': '4789001,4759801,4781400,4789099,4789002,4754703,4782201,4744001,4744003,4742300,4743100,4723700,4729699', 'count': 1}"
4789004,"{'CNAE_PRINCIPAL': 4789004, 'CNAE_SECUNDARIA': '4771704,9609208,7500100', 'count': 1}"
4789004,"{'CNAE_PRINCIPAL': 4789004, 'CNAE_SECUNDARIA': '5590699,5320202,4781400,9609208,4771704,9602502,0159802', 'count': 1}"
1422300,"{'CNAE_PRINCIPAL': 1422300, 'CNAE_SECUNDARIA': 5620104, 'count': 1}"
1422300,"{'CNAE_PRINCIPAL': 1422300, 'CNAE_SECUNDARIA': '4781400,7020400', 'count': 1}"
5813100,"{'CNAE_PRINCIPAL': 5813100, 'CNAE_SECUNDARIA': '5812301,7319003,8219999,5819100', 'count': 1}"
5813100,"{'CNAE_PRINCIPAL': 5813100, 'CNAE_SECUNDARIA': 5812301, 'count': 1}"
5813100,"{'CNAE_PRINCIPAL': 5813100, 'CNAE_SECUNDARIA': 7319003, 'count': 1}"
1340599,"{'CNAE_PRINCIPAL': 1340599, 'CNAE_SECUNDARIA': 4781400, 'count': 1}"
1340599,"{'CNAE_PRINCIPAL': 1340599, 'count': 1}"
4755503,"{'CNAE_PRINCIPAL': 4755503, 'CNAE_SECUNDARIA': '4781400,4782201', 'count': 1}"
4755503,"{'CNAE_PRINCIPAL': 4755503, 'count': 2}"
4755503,"{'CNAE_PRINCIPAL': 4755503, 'CNAE_SECUNDARIA': '4721102,4789099,4789004', 'count': 1}"
141501,"{'CNAE_PRINCIPAL': 141501, 'CNAE_SECUNDARIA': '0141502,0151201,0151202,0151203', 'count': 1}"
4330402,"{'CNAE_PRINCIPAL': 4330402, 'CNAE_SECUNDARIA': 3101200, 'count': 1}"
4330402,"{'CNAE_PRINCIPAL': 4330402, 'CNAE_SECUNDARIA': '4330404,4321500,4399103', 'count': 1}"
